DATE,RSFSDP
2018-01-01,59420.0
2018-02-01,59687.0
2018-03-01,60248.0
2018-04-01,59500.0
2018-05-01,60839.0
2018-06-01,61456.0
2018-07-01,62231.0
2018-08-01,62523.0
2018-09-01,61153.0
2018-10-01,61698.0
2018-11-01,61431.0
2018-12-01,61360.0
2019-01-01,61348.0
2019-02-01,61679.0
2019-03-01,62257.0
2019-04-01,62731.0
2019-05-01,63406.0
2019-06-01,64307.0
2019-07-01,65053.0
2019-08-01,65266.0
2019-09-01,65958.0
2019-10-01,66430.0
2019-11-01,66533.0
2019-12-01,67701.0
2020-01-01,68991.0
2020-02-01,68979.0
2020-03-01,48480.0
2020-04-01,31394.0
2020-05-01,41252.0
2020-06-01,53159.0
2020-07-01,55528.0
2020-08-01,58180.0
2020-09-01,59745.0
2020-10-01,59566.0
2020-11-01,57134.0
2020-12-01,53767.0
2021-01-01,58817.0
2021-02-01,57289.0
2021-03-01,65385.0
2021-04-01,68285.0
2021-05-01,70254.0
2021-06-01,73432.0
2021-07-01,74830.0
2021-08-01,74752.0
2021-09-01,74803.0
2021-10-01,75045.0
2021-11-01,75600.0
2021-12-01,74367.0
2022-01-01,72709.0
2022-02-01,75913.0
2022-03-01,78255.0
2022-04-01,81104.0
2022-05-01,81758.0
2022-06-01,82342.0
2022-07-01,82028.0
2022-08-01,84120.0
2022-09-01,84418.0
2022-10-01,85909.0
2022-11-01,85365.0
2022-12-01,84985.0
2023-01-01,90330.0
2023-02-01,88160.0
2023-03-01,88461.0
2023-04-01,88736.0
2023-05-01,89984.0
2023-06-01,90804.0
2023-07-01,91371.0
2023-08-01,91692.0
2023-09-01,92979.0
2023-10-01,93381.0
2023-11-01,94672.0
2023-12-01,94526.0
2024-01-01,93710.0
2024-02-01,93799.0
2024-03-01,93678.0
2024-04-01,94223.0
2024-05-01,94575.0
2024-06-01,94831.0
