DATE,CPIMEDSL
2018-01-01,480.797
2018-02-01,481.600
2018-03-01,483.078
2018-04-01,483.577
2018-05-01,484.543
2018-06-01,486.209
2018-07-01,485.246
2018-08-01,484.273
2018-09-01,485.039
2018-10-01,485.652
2018-11-01,487.615
2018-12-01,488.820
2019-01-01,489.968
2019-02-01,490.160
2019-03-01,491.412
2019-04-01,492.970
2019-05-01,494.859
2019-06-01,495.745
2019-07-01,497.714
2019-08-01,500.662
2019-09-01,501.710
2019-10-01,506.433
2019-11-01,508.315
2019-12-01,510.875
2020-01-01,511.865
2020-02-01,513.013
2020-03-01,514.725
2020-04-01,516.814
2020-05-01,519.225
2020-06-01,520.957
2020-07-01,522.722
2020-08-01,522.860
2020-09-01,522.666
2020-10-01,520.900
2020-11-01,520.565
2020-12-01,519.907
2021-01-01,521.792
2021-02-01,523.471
2021-03-01,523.979
2021-04-01,524.529
2021-05-01,524.088
2021-06-01,523.256
2021-07-01,524.304
2021-08-01,524.646
2021-09-01,524.764
2021-10-01,527.597
2021-11-01,529.512
2021-12-01,531.053
2022-01-01,534.704
2022-02-01,536.293
2022-03-01,539.079
2022-04-01,541.633
2022-05-01,543.814
2022-06-01,547.073
2022-07-01,549.741
2022-08-01,552.723
2022-09-01,556.125
2022-10-01,553.890
2022-11-01,551.364
2022-12-01,551.950
2023-01-01,551.022
2023-02-01,548.925
2023-03-01,547.250
2023-04-01,547.462
2023-05-01,547.889
2023-06-01,547.832
2023-07-01,546.959
2023-08-01,547.354
2023-09-01,548.158
2023-10-01,549.491
2023-11-01,552.182
2023-12-01,554.295
2024-01-01,556.811
2024-02-01,556.668
2024-03-01,559.368
2024-04-01,561.860
2024-05-01,564.732
2024-06-01,565.711
