DATE,GDPC1
2015-01-01,18666.621
2015-04-01,18782.243
2015-07-01,18857.418
2015-10-01,18892.206
2016-01-01,19001.69
2016-04-01,19062.709
2016-07-01,19197.938
2016-10-01,19304.352
2017-01-01,19398.343
2017-04-01,19506.949
2017-07-01,19660.766
2017-10-01,19882.352
2018-01-01,20044.077
2018-04-01,20150.476
2018-07-01,20276.154
2018-10-01,20304.874
2019-01-01,20415.15
2019-04-01,20584.528
2019-07-01,20817.581
2019-10-01,20951.088
2020-01-01,20665.553
2020-04-01,19034.83
2020-07-01,20511.785
2020-10-01,20724.128
2021-01-01,20990.541
2021-04-01,21309.544
2021-07-01,21483.083
2021-10-01,21847.602
2022-01-01,21738.871
2022-04-01,21708.16
2022-07-01,21851.134
2022-10-01,21989.981
2023-01-01,22112.329
